Modelo,Modelo_base,Balanceo,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,Recall_CV_Optuna,Tiempo_Optuna_seg,N_Trials,Mejores_params
XGBoost + class_weight,XGBoost,class_weight,0.7207111321349732,0.305973003989289,0.7920497948790494,0.44142226426994635,0.8270609672011899,0.42296012738070343,0.7961592174753663,258.7191324234009,30,"{'n_estimators': 250, 'max_depth': 3, 'learning_rate': 0.07330363323201568, 'subsample': 0.8881396659208, 'colsample_bytree': 0.8734057606392117, 'min_child_weight': 9, 'gamma': 3.33992554136246, 'reg_alpha': 2.9994656530903776, 'reg_lambda': 1.4303854290589637}"
Random Forest + class_weight,Random Forest,class_weight,0.7147587511825922,0.2980081855388813,0.772527938888103,0.4301015988028668,0.8145544177025172,0.40191208143323315,0.7843118705580296,590.410552740097,30,"{'n_estimators': 70, 'max_depth': 6, 'min_samples_split': 12, 'min_samples_leaf': 4, 'max_features': 'log2'}"
Regresión Logística + class_weight,Regresión Logística,class_weight,0.7231748659728792,0.30446238367529993,0.7682840571509407,0.4361023005580761,0.8158609709513275,0.38541727314651264,0.771793202245575,953.971449136734,30,"{'C': 0.0010301074891557013, 'penalty': 'l1'}"
KNN + adasyn,KNN,adasyn,0.7857734153263954,0.3529639374709797,0.6452114867732353,0.4563053374018308,0.8168525301520393,0.3989243901214975,0.6469565366919412,2545.2742569446564,30,"{'n_neighbors': 139, 'weights': 'uniform', 'metric': 'euclidean'}"
KNN + smote,KNN,smote,0.7889269946389151,0.3559214692843572,0.6360164096760503,0.4564235318004162,0.8174516272364848,0.40258327615132217,0.6390701861015962,1919.3642077445984,30,"{'n_neighbors': 151, 'weights': 'uniform', 'metric': 'euclidean'}"
Regresión Logística + smote,Regresión Logística,smote,0.8134657836644592,0.38200807961375505,0.5484509831659358,0.45034266465326983,0.8180842750275742,0.391202875999724,0.5541957649724806,862.9231014251709,30,"{'C': 1.2673263875515566, 'penalty': 'l2'}"
Regresión Logística + adasyn,Regresión Logística,adasyn,0.8135052034058656,0.3816869376050628,0.5460461168482105,0.449307414736352,0.8175898017877121,0.3901631908548302,0.551437363137602,1826.5127274990082,30,"{'C': 0.778750172539758, 'penalty': 'l2'}"
Random Forest + adasyn,Random Forest,adasyn,0.8378074739829706,0.4153531815528313,0.4026029141321262,0.4088786725091589,0.8090283362565626,0.3895184028727951,0.3950557516911221,1650.0223515033722,30,"{'n_estimators': 50, 'max_depth': 6, 'min_samples_split': 10, 'min_samples_leaf': 9, 'max_features': 'sqrt'}"
Random Forest + smote,Random Forest,smote,0.8387141280353201,0.41811231990591,0.402319988682982,0.4100641626414822,0.8088063910349583,0.3910166754831783,0.40478083257359454,1047.4081587791443,30,"{'n_estimators': 50, 'max_depth': 6, 'min_samples_split': 9, 'min_samples_leaf': 3, 'max_features': 'log2'}"
XGBoost + smote,XGBoost,smote,0.8512693156732892,0.4570037858301785,0.35860800679021076,0.4018706404565631,0.8192055631953663,0.40645716793453496,0.3529716289173441,1419.2478964328766,30,"{'n_estimators': 450, 'max_depth': 3, 'learning_rate': 0.010215357031663454, 'subsample': 0.8634899515157878, 'colsample_bytree': 0.8116465913707888, 'min_child_weight': 10, 'gamma': 3.010623828752643, 'reg_alpha': 0.007778709837383242, 'reg_lambda': 0.18636556724441458}"
XGBoost + adasyn,XGBoost,adasyn,0.8559011352885525,0.4749896651508888,0.32508134106662895,0.38599143361048116,0.8197482089846224,0.40663719280863214,0.315980669495521,995.2372193336487,30,"{'n_estimators': 150, 'max_depth': 3, 'learning_rate': 0.03591201956051712, 'subsample': 0.8070111909124212, 'colsample_bytree': 0.9098085821625351, 'min_child_weight': 5, 'gamma': 3.5387105580161764, 'reg_alpha': 0.02012683662461886, 'reg_lambda': 8.912490550951178}"
KNN + none,KNN,none,0.8378666035950804,0.37683627847562273,0.2503890224925732,0.3008669046404896,0.6830436494191305,0.2505109446004023,0.24454456946263026,1402.4413967132568,30,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}"
XGBoost + none,XGBoost,none,0.8644157994323557,0.5418133802816901,0.17414061394822464,0.26356921100524566,0.8237969611207322,0.4153819915225989,0.17763499275278039,247.3818793296814,30,"{'n_estimators': 250, 'max_depth': 8, 'learning_rate': 0.08960785365368121, 'subsample': 0.8795975452591109, 'colsample_bytree': 0.7468055921327309, 'min_child_weight': 2, 'gamma': 0.2904180608409973, 'reg_alpha': 2.1423021757741068, 'reg_lambda': 1.5930522616241019}"
Regresión Logística + none,Regresión Logística,none,0.8620703248186692,0.5163669893960351,0.1584382515207243,0.24247672656419136,0.8191623585413654,0.394231584134207,0.15811390328119587,467.438414812088,30,"{'C': 3.4702669886504163, 'penalty': 'l2'}"
Random Forest + none,Random Forest,none,0.8648099968464207,0.5537359263050153,0.15306266798698542,0.23983154161587053,0.8168370465811027,0.4102747328584082,0.1514654015609973,1040.0177161693573,30,"{'n_estimators': 90, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}"
